City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,al kharj,24.155,47.3346,12.32,51,0,3.28,SA,1704663132
187,zalingei,12.9096,23.4741,18.54,16,5,2.45,SD,1704663206
188,new iberia,30.0035,-91.8187,14.47,46,0,2.57,US,1704663207
189,gadzhiyevo,69.2551,33.3362,-4.28,86,86,9.8,RU,1704663207
190,langepas,61.2544,75.2124,-18.62,97,100,6.41,RU,1704663209
191,shahritus,37.2637,68.1385,8.05,89,100,2.69,TJ,1704663209
192,quellon,-43.1167,-73.6167,12.97,88,94,4.22,CL,1704663210
193,cabo san lucas,22.8909,-109.9124,24.78,35,0,9.77,MX,1704663156
194,suva,-18.1416,178.4415,27.71,89,40,1.03,FJ,1704663211
195,lihue,21.9789,-159.3672,26.87,75,75,5.14,US,1704663053
196,namibe,-15.1961,12.1522,22.89,78,100,1.61,AO,1704663211
197,port augusta,-32.5,137.7667,21.53,77,87,7.76,AU,1704663212
198,hamilton,39.1834,-84.5333,3.01,79,100,7.6,US,1704662853
199,geneina,13.45,22.45,18.18,15,6,4.76,SD,1704663212
200,mount gambier,-37.8333,140.7667,16.3,91,100,5.43,AU,1704663008
201,isafjordur,66.0755,-23.124,4.59,95,100,5.79,IS,1704663213
202,la ronge,55.1001,-105.2842,-19.88,54,20,1.03,CA,1704663213
203,avarua,-21.2078,-159.775,29.03,79,75,7.72,CK,1704663214
204,twon-brass,4.3151,6.2418,28.22,79,5,5.49,NG,1704663214
205,mazagao,-0.115,-51.2894,24.23,94,100,1.36,BR,1704663215
206,as sulayyil,20.4607,45.5779,17.14,50,4,3.77,SA,1704663215
207,jamestown,42.097,-79.2353,0.77,96,100,3.09,US,1704663216
208,sampit,-2.5333,112.95,23.83,99,100,1.18,ID,1704663216
209,iskateley,67.6803,53.1512,-9.99,95,98,4.47,RU,1704663217
210,alice springs,-23.7,133.8833,25.68,74,1,1.34,AU,1704663217
211,ukiah,39.1502,-123.2078,10.94,60,0,5.14,US,1704663007
212,minab,27.1467,57.0801,19.2,33,0,4.33,IR,1704663218
213,flying fish cove,-10.4217,105.6791,24.82,100,100,1.54,CX,1704663219
214,belmonte,-15.8631,-38.8828,25.73,90,90,2.65,BR,1704663220
215,antigonish,45.6169,-61.9986,-3.43,74,100,1.34,CA,1704663220
216,topes de collantes,21.9139,-80.0189,24.38,76,83,0.79,CU,1704663220
217,qamdo,31.1667,97.2333,-11.39,42,0,0.71,CN,1704663221
218,saipan,15.1355,145.701,26.39,89,100,4.12,MP,1704663221
219,kununurra,-15.7667,128.7333,23.99,94,100,1.54,AU,1704663222
220,lesnikovo,55.2822,65.3175,-11.23,95,100,4.97,RU,1704663222
221,tura,25.5198,90.2201,13.75,60,0,1.2,IN,1704663223
222,guiuan,11.0333,125.7247,27.7,80,91,7.78,PH,1704663223
223,olyokminsk,60.3736,120.4264,-19.58,99,100,1.57,RU,1704663224
224,alpena,45.0617,-83.4327,1.18,93,75,0.45,US,1704663224
225,remire-montjoly,4.9167,-52.2667,28.02,69,100,2.06,GF,1704663224
226,riberalta,-10.9833,-66.1,27.11,89,75,0.0,BO,1704663225
227,kodiak,57.79,-152.4072,2.73,65,0,2.57,US,1704663214
228,tofol,5.3248,163.0078,27.67,81,100,8.37,FM,1704663225
229,longyearbyen,78.2186,15.6401,-17.09,60,0,7.2,SJ,1704663226
230,codrington,-38.2667,141.9667,16.29,95,100,7.39,AU,1704663226
231,st. john's,47.5649,-52.7093,-3.9,78,20,12.86,CA,1704663227
232,serenje,-13.2325,30.2352,16.82,92,69,1.06,ZM,1704663227
233,vilyuchinsk,52.9306,158.4028,-15.04,85,17,3.39,RU,1704663228
234,ambodifotatra,-16.9833,49.85,27.82,83,52,5.07,MG,1704663228
235,el calafate,-50.3408,-72.2768,12.1,45,19,7.24,AR,1704663228
236,sattahip,12.6664,100.9007,28.32,88,27,2.06,TH,1704663152
237,bandar lampung,-5.4254,105.258,23.82,93,100,0.42,ID,1704663229
238,port-vila,-17.7338,168.3219,27.78,83,75,2.06,VU,1704663116
239,aonla,28.2833,79.15,8.71,58,0,2.29,IN,1704663230
240,mbouda,5.6258,10.2552,18.62,35,2,2.22,CM,1704663230
241,lebu,-37.6167,-73.65,16.81,72,1,5.01,CL,1704663230
242,port mathurin,-19.6833,63.4167,27.34,75,47,3.62,MU,1704663231
243,ghat,24.9647,10.1728,14.9,28,67,1.04,LY,1704663231
244,rangpur,25.75,89.25,16.69,63,0,2.17,BD,1704663232
245,al qadarif,14.0349,35.3834,24.16,29,2,3.27,SD,1704663232
246,hermanus,-34.4187,19.2345,16.84,75,76,3.7,ZA,1704663232
247,darhan,49.4867,105.9228,-18.38,98,97,0.69,MN,1704663233
248,visakhapatnam,17.69,83.2093,20.96,77,33,3.25,IN,1704663191
249,san patricio,28.017,-97.5169,21.58,61,94,7.35,US,1704663233
250,pemba,-12.974,40.5178,25.4,88,63,3.75,MZ,1704663234
251,las khorey,11.1595,48.1967,24.08,56,17,4.27,SO,1704663234
252,bereket,39.2446,55.5154,8.52,45,5,2.68,TM,1704663234
